nm,attack_1,attack_2,attack_3,attack_4,attack_5,attack_6,attack_7,attack_8,attack_9,attack_10,wrestle_1,wrestle_2,wrestle_3,wrestle_4,wrestle_5,wrestle_6,wrestle_7,wrestle_8,wrestle_9,wrestle_10,chase_1,chase_2,chase_3,chase_4,chase_5,chase_6,chase_7,chase_8,chase_9,chase_10,escape_1,escape_2,escape_3,escape_4,escape_5,escape_6,escape_7,escape_8,escape_9,escape_10,conflict_1,conflict_2,conflict_3,conflict_4,conflict_5,conflict_6,conflict_7,conflict_8,conflict_9,conflict_10,investment_1,investment_2,investment_3,investment_4,investment_5,investment_6,investment_7,investment_8,investment_9,investment_10
n2673 o,7,4,6,2,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,5,6,2,0,0,3,0,2,1,414.6425,507.96457,317.449,429.5621,399.08816,159.50881,94.5904,231.66977,154.8024,228.49897
n2673 A,17,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,1,0,0,1,22,3,5,2,0,0,2,0,0,1,599.08352,7.77684,0.66754,0,0,0,126.66575,0,0,0
n2673 H,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,4.47252,0,0,0,0,0,0,0
n2673 O,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,3,1,0,0,0,0,0,0,13,1,3,1,0,0,0,0,0,0,436.30382,0,574.98592,0,0,0,0,0,0,0
n2673 X,13,1,0,2,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,3,4,2,0,0,0,0,599.08352,334.63755,384.86995,599.78478,409.26809,128.4346,399.42262,440.20966,241.482,140.45038
n2674 =,22,27,7,1,0,0,1,4,2,3,5,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,29,33,7,1,0,0,1,4,3,6,543.3111,539.90606,542.24257,601.05277,0,589.60474,599.88545,465.27551,408.76203,499.01965
n2674 o,9,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,2,4,14,4,1,2,0,0,0,0,2,5,587.4021,0,0,596.5135,55.2389,0,0,0,599.81196,521.58252
n2674 A,9,1,0,1,0,0,1,0,1,0,5,11,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,2,2,2,16,16,2,1,0,0,1,4,3,2,556.228,429.99556,289.4784,601.05277,101.933,600.15184,0,353.36242,4.27226,0
n2674 H,5,0,11,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,6,0,13,1,0,1,2,1,1,0,600.319,516.37524,591.57377,555.42637,154.5352,546.41491,592.8429,222.49107,550.18037,535.16697
n2674 O,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,4,0,0,0,1,0,1,0,2,0,4,0,0,4,5,0,1,0,0,0,0,0,599.3842,600.15184,35.0459,37.3489,185.9433,0
